,ticker,Market Cap (intraday) 5,Enterprise Value 3,Trailing P/E ,Forward P/E 1,PEG Ratio (5 yr expected) 1,Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue 3,Enterprise Value/EBITDA 6,Beta (5Y Monthly) ,52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Float ,% Held by Insiders 1,% Held by Institutions 1,Shares Short  4,Short Ratio  4,Short % of Float  4,Short % of Shares Outstanding  4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends ,Most Recent Quarter (mrq),Profit Margin ,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA ,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),ScrapedName,Sector
0,ELE.MC,N/A,65.65,17.81,6.91,1.3,3.14,N/A,N/A,N/A,11.72%,11.97%,26.26,21.57,24.63,24.07,1.38M,1.27M,1.06B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.43,5.80%,1.43,5.80%,5.73,376.09%,N/A,"Dec 30, 2019",N/A,N/A,"Dec 31, 2019","Dec 31, 2019",0.85%,1.92%,N/A,1.93%,20.16B,N/A,5.90%,6.2B,1.89B,171M,0.38,N/A,N/A,N/A,N/A,90.34,N/A,7.87,N/A,N/A,,ENDESA S.A. (ELE.MC),Utilities
1,EKT.MC,2.97B,25.03,18.13,1.56,2.13,1.48,4.34,9.86,0.62,2.26%,11.97%,9.45,7.18,8.43,8.4,69.37k,54.91k,178.48M,120.69M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.31,3.66%,0.17,2.08%,N/A,144.06%,N/A,"Feb 03, 2020",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",8.50%,18.95%,N/A,5.96%,684.14M,3.83,-0.50%,426.36M,301.14M,58.18M,0.33,7.30%,81.3M,0.46,1.58B,160.34,0.43,5.53,N/A,N/A,,EUSKALTEL S.A. (EKT.MC),Communication Services
2,APPS.MC,2.2B,32.0,14.72,2.35,0.91,2.1,1.26,9.82,0.74,8.17%,11.97%,13.19,10.15,10.96,11.29,222.97k,199.95k,143.02M,142.76M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.15,1.43%,0.15,1.33%,N/A,81.29%,N/A,"Jul 02, 2019",N/A,N/A,"Dec 31, 2018","Jun 30, 2019",2.83%,7.33%,3.81%,8.81%,1.74B,12.16,1.50%,597.5M,223.61M,49.26M,0.34,-21.20%,133.21M,0.93,778.72M,96.95,1.36,5.24,200.22M,126.27M,,APPLUS SERVICES S.A. (APPS.MC),Sector
3,CLNX.MC,17.45B,N/A,N/A,N/A,15.57,6.83,18.26,27.23,0.48,125.54%,11.97%,49.18,19.52,44.4,38.72,930.32k,698.81k,318.84M,232.4M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.08,0.16%,0.09,0.20%,N/A,989.76%,N/A,"Nov 20, 2019",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",-0.10%,21.60%,1.84%,-0.36%,955.45M,3.20,16.00%,717.58M,640.78M,-983k,-0.0,N/A,2.32B,7.77,5.72B,280.48,4.01,6.83,N/A,N/A,,CELLNEX TELECOM S.A. (CLNX.MC),Communication Services
4,MDF.MC,-71.58M,N/A,N/A,N/A,0.06,4.05,-0.17,0.99,1.52,-67.24%,11.97%,0.91,0.191,0.3482,0.3297,1.8M,1.73M,95.68M,89.73M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,"Sep 17, 2015",1:50,"Jul 10, 2019","Dec 31, 2018","Sep 30, 2019",-12.32%,-15.04%,-6.08%,-131.08%,428.59M,4.46,57.90%,130.67M,-72.6M,-52.8M,-0.653,N/A,205.91M,2.14,108.7M,"1,764.26",1.07,0.06,N/A,N/A,,DURO FELGUERA S.A. (MDF.MC),Sector
5,NTH.MC,134.44M,9.86,6.44,N/A,1.58,7.06,1.62,6.66,1.47,-12.45%,11.97%,2.545,1.802,2.1601,2.0201,59.47k,140.32k,59.95M,13.73M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.25,11.16%,0.25,11.29%,N/A,106.40%,N/A,"Dec 12, 2019",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",16.00%,23.01%,28.46%,67.84%,83.12M,1.39,0.90%,61.75M,20.19M,13.3M,0.222,21.70%,12.03M,0.2,12.19M,65.56,2.02,0.31,N/A,N/A,,NATURHOUSE HEALTH S.A (NTH.MC),Sector
6,FCC.MC,7.8B,14.21,N/A,N/A,0.67,2.34,1.21,8.22,0.79,-15.88%,11.97%,13.0,10.2,11.4,11.05,49.39k,120.53k,392.26M,54.75M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4,3.60%,0.40,3.74%,N/A,50.41%,N/A,"May 14, 2019",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",4.80%,7.99%,2.94%,18.77%,6.43B,16.21,5.80%,3.92B,949.13M,308.62M,0.77,328.20%,1.24B,3.16,4.46B,199.87,1.18,4.7,510.53M,203.19M,,ACCIONES FOMENTO DE CONSTRUCCIO (FCC.MC),Industrials
7,GALQ.MC,276.37M,N/A,N/A,N/A,0.7,N/A,1.80,7.74,0.70,47.74%,11.97%,2.14,0.9763,1.7047,1.5588,149.74k,97.31k,63.07M,13.56M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,1:10,"Jul 20, 2017","Dec 31, 2018","Sep 30, 2019",-2.57%,8.12%,N/A,N/A,153.16M,4.60,7.40%,102.13M,35.69M,-3.94M,-0.118,N/A,9.68M,0.29,229.23M,N/A,N/A,-0.31,N/A,N/A,,GENERAL DE ALQUILER DE MAQUINAR (GALQ.MC),Sector
8,OLE.MC,583.6M,N/A,N/A,N/A,0.09,3.25,1.03,27.39,2.04,-70.23%,11.97%,0.0946,0.0164,0.0313,0.0446,54.9M,25.38M,1.4B,484.7M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,"Jun 18, 2008",4:1,"May 23, 2005","Dec 31, 2018","Sep 30, 2019",-43.94%,9.20%,3.44%,-195.52%,568.16M,0.40,2.00%,147.04M,21.3M,-249.66M,-0.178,N/A,86.52M,0.06,634.16M,"3,999.21",1.64,0.01,34.29M,24.33M,,DEOLEO S.A. (OLE.MC),Sector
9,FDR.MC,3.21B,289.55,N/A,N/A,1.8,1.71,2.33,22.20,0.87,33.68%,11.97%,13.7,9.21,12.05,11.38,68.59k,149.95k,194.04M,28.14M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,"Oct 04, 2017",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",0.62%,6.05%,1.76%,0.80%,1.38B,7.09,3.60%,504.6M,144.64M,8.18M,0.04,N/A,263.2M,1.35,936.5M,64.49,2.26,7.43,N/A,N/A,,FLUIDRA S.A. (FDR.MC),Sector
10,AIR,1.77B,367.18,13.42,0.99,0.64,1.51,0.81,10.48,1.21,8.18%,11.97%,52.78,29.84,44.68,43.72,185.27k,161.58k,34.91M,32.46M,5.43%,94.85%,1.3M,7.48,5.55%,3.73%,1.34M,0.3,0.68%,0.30,0.74%,0.91,11.45%,"Jan 13, 2020","Jan 01, 2020",3:2,"Feb 23, 1998","May 30, 2019","Nov 29, 2019",0.18%,5.70%,4.66%,9.82%,2.19B,63.61,13.70%,329.5M,169.2M,90.7M,0.11,102.90%,38.2M,1.11,293.8M,31.88,2.64,26.81,85M,142.06M,,AAR C . (AIR),Sector
11,IBE.MC,110.08B,20.88,22.34,2.05,1.99,1.81,3.12,12.14,0.40,45.35%,11.97%,11.35,7.28,9.97,9.35,17.95M,16.52M,6.29B,5.8B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.37,3.45%,0.20,1.88%,3.94,69.37%,N/A,"Jan 09, 2020",2:1,"Jan 11, 2018","Dec 31, 2018","Sep 30, 2019",9.76%,16.94%,3.23%,8.73%,35.25B,5.48,-6.00%,15.44B,9.07B,3.49B,0.54,28.20%,3.12B,0.49,38.63B,83.94,0.79,6.18,7.59B,294.9M,,ACCIONES IBERDROLA (IBE.MC),Utilities
12,ABE.MC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,. T Y,Sitemap
13,ZOT.MC,3.3B,22.22,18.46,4.08,3.89,8.25,4.10,15.79,1.15,-8.32%,11.97%,7.62,5.93,7.04,6.70,386.64k,210.75k,470.08M,180.58M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.32,4.56%,0.32,4.80%,3.85,104.67%,N/A,"Jan 08, 2020",26:25,"Jul 15, 2014","Nov 30, 2019","Nov 30, 2019",17.49%,23.25%,N/A,N/A,803.7M,1.71,-4.10%,529.7M,208.8M,140.6M,0.3,-7.70%,N/A,N/A,N/A,N/A,N/A,0.81,172.39M,N/A,,ZARDOYA OTIS S.A. (ZOT.MC),Industrials
14,A3M.MC,848.01M,8.14,4.07,3.34,0.70,1.51,0.88,4.59,0.94,-35.81%,11.97%,4.9660,2.8400,3.1844,3.5062,620.74k,695k,224.91M,88.77M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2,6.94%,0.52,18.04%,5.40,54.92%,N/A,"Dec 16, 2019",4:1,"Apr 27, 2005","Dec 31, 2018","Sep 30, 2019",8.57%,17.72%,8.10%,18.08%,960.57M,4.27,-6.60%,363.98M,184.65M,82.37M,0.365,-36.50%,90.76M,0.4,290.15M,65.34,1.36,1.97,166.38M,59.84M,,ATRESMEDIA CORPORACION DE MEDIO (A M.MC),Communication Services
15,REN.MC,174.14M,5.80,N/A,N/A,0.97,1.53,1.82,10.64,0.52,-16.19%,11.97%,4.3000,2.8700,3.1729,3.3594,40.24k,25.94k,32.11M,20.2M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1,3.09%,N/A,N/A,N/A,24.11%,N/A,"Nov 13, 2019",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",13.56%,16.86%,6.88%,20.73%,95.92M,2.74,-0.20%,30.5M,16.36M,13.01M,0.5,-27.70%,15.5M,0.48,90.7M,133.19,1.77,1.91,-18.98M,-12.53M,,RENTA CORPORACION REAL ESTATE (REN.MC),Sector
16,LRE.MC,1.15B,7.58,N/A,N/A,6.99,0.61,13.56,19.50,0.43,-14.88%,11.97%,8.20,6.36,6.95,7.36,180.4k,256.29k,87.14M,69.36M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.8,11.17%,0.63,9.22%,N/A,88.89%,N/A,"Apr 24, 2019",N/A,N/A,"Dec 31, 2019","Dec 31, 2019",95.12%,69.19%,2.14%,8.11%,84.88M,0.94,22.10%,84.88M,59.03M,80.73M,0.9,-96.60%,160.53M,1.83,699.06M,71.13,3.32,11.23,16.8M,-18.82M,,LAR ESPANA REAL ESTATE SOCIMI (LRE.MC),Sector
17,OHL.MC,445.28M,N/A,N/A,N/A,0.10,0.38,0.15,53.42,1.99,17.81%,11.97%,1.6000,0.8020,1.1853,1.0749,3.28M,1.96M,286.02M,198.23M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.35,35.69%,N/A,0.00%,N/A,"Jul 04, 2016",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",-8.46%,-1.89%,-0.86%,-22.50%,2.98B,10.41,24.60%,690.16M,8.34M,-180.94M,-0.881,N/A,592.9M,2.07,763.6M,101.89,1.09,2.64,-217.24M,-265.39M,,OBRASCON HUARTE LAIN S.A. (OHL.MC),Sector
18,BDL.MC,372.22M,16.59,N/A,N/A,4.26,1.54,3.72,11.75,0.28,0.92%,11.97%,114.00,99.00,106.93,107.33,2.5k,420,4.05M,345.31k,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 31, 2018","Sep 30, 2019",25.70%,23.93%,N/A,N/A,100.11M,24.75,6.00%,57.27M,31.67M,25.73M,6.36,19.00%,83.15M,20.55,10.34M,3.73,N/A,68.55,N/A,N/A,,BARON DE LEY S.A. (BDL.MC),Consumer Defensive
19,CMC.MC,28.14M,N/A,N/A,N/A,"5,171.41",N/A,"5,628.60",-1.91,1.08,-40.82%,11.97%,4.9900,1.0350,2.8860,2.9121,41.38k,N/A,8.68M,2.03M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,"Apr 15, 2010",1:20,"Jul 23, 2018","Dec 31, 2018","Jun 30, 2019",0.00%,"-295,280.00%",-18.03%,-322.80%,5k,0.00,N/A,45k,-14.71M,-16.12M,-1.34,N/A,529k,0.05,429k,N/A,1.61,-0.14,-6.73M,-21.86M,,CORPORACION EMPRESARIAL DE MATE (CMC.MC),Sector
20,IDR.MC,2.45B,14.16,10.92,0.70,0.52,2.39,0.74,9.00,1.12,0.47%,11.97%,11.38,6.61,10.79,9.14,602.85k,532.93k,176.32M,123.89M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,"Jul 08, 2014",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",3.93%,6.36%,3.21%,19.79%,3.3B,18.73,4.40%,801.86M,272.24M,129.86M,0.69,73.00%,755.6M,4.29,1.49B,200.62,1.38,4.06,94.42M,46.37M,,INDRA SISTEMAS S.A. SERIE A (IDR.MC),Technology
21,CIE.MC,3.95B,5.32,N/A,N/A,0.69,1.80,1.18,6.74,1.52,-29.26%,11.97%,25.94,17.64,20.25,21.48,216.86k,279.51k,129M,53.08M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.74,4.07%,0.31,1.71%,1.99,38.46%,N/A,"Dec 31, 2019",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",12.89%,11.77%,8.78%,20.61%,3.35B,25.94,24.90%,1.14B,586.14M,220.6M,3.34,28.60%,N/A,N/A,1.6B,126.01,N/A,9.86,510.76M,N/A,,CIE AUTOMOTIVE S.A. (CIE.MC),Consumer Cyclical
22,FAE.MC,1.19B,20.39,N/A,N/A,3.46,3.14,3.26,13.93,0.53,36.66%,11.97%,5.4800,3.2200,5.0389,4.9396,327.34k,390.46k,281.17M,266.93M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.16,3.68%,0.02,0.49%,3.38,60.87%,N/A,"Dec 16, 2019",2:1,"Dec 15, 2017","Dec 31, 2018","Jun 30, 2019",16.25%,20.40%,9.77%,16.08%,363.35M,1.35,13.80%,215.61M,85.12M,59.05M,0.219,31.00%,56.13M,0.2,20.93M,5.36,2.86,1.43,73.67M,26.62M,,FAES FARMA S.A. (FAE.MC),Sector
23,SCYR.MC,8.06B,8.08,N/A,N/A,0.33,1.14,1.94,13.67,1.98,11.91%,11.97%,2.7920,1.9600,2.6398,2.4921,1.99M,2.57M,565.67M,340.78M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.11,4.61%,N/A,N/A,N/A,38.55%,N/A,"Jan 14, 2020",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",3.95%,10.59%,1.88%,13.68%,4.15B,7.51,13.00%,2.27B,589.54M,163.7M,0.297,14.10%,1.76B,3.19,8.12B,526.84,1.01,2.1,N/A,N/A,,SACYR S.A. (SCYR.MC),Industrials
24,EBRO.MC,3.42B,19.00,13.66,1.53,0.97,1.24,1.23,10.55,0.18,-3.73%,11.97%,20.22,17.26,18.69,19.00,76.52k,59.89k,153.86M,51.31M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.76,4.25%,0.57,3.15%,3.32,62.78%,N/A,"Mar 30, 2020",100:99,"Dec 04, 2012","Dec 31, 2018","Sep 30, 2019",5.62%,8.29%,N/A,N/A,2.79B,17.21,5.20%,1.2B,323.85M,156.61M,0.92,72.30%,206.9M,1.35,844.25M,38.46,N/A,14.07,N/A,N/A,,EBRO FOODS S.A. (EBRO.MC),Sector
25,ANA.MC,11.63B,19.15,23.11,0.68,0.77,1.86,1.47,9.50,0.98,29.50%,11.97%,118.70,83.70,103.53,96.22,81.14k,114.68k,54.21M,20.86M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.52,3.18%,3.35,3.02%,N/A,61.56%,N/A,"Jun 27, 2019",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",4.02%,8.51%,2.62%,10.94%,7.93B,145.47,-4.60%,5.84B,1.22B,319.03M,5.85,59.30%,1.41B,25.82,6.78B,193.58,0.85,60.24,797.65M,-85.88k,,ACCIONA S.A. (ANA.MC),Sector
26,DIA.MC,2.61B,N/A,0.26,-3.83,0.08,N/A,0.38,23.36,1.17,-83.80%,11.97%,0.6496,0.0840,0.1007,0.2533,18.6M,16.13M,6.68B,154.04M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.18,207.37%,N/A,0.00%,N/A,"Jul 13, 2018",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",-11.74%,-4.98%,N/A,N/A,6.91B,11.12,-8.00%,1.45B,111.77M,-738.37M,-1.306,N/A,123.3M,0.2,2.68B,N/A,0.40,-1.07,N/A,N/A,,DISTRIBUIDORA INTERNACIONAL DE (DIA.MC),Sector
27,MEL.MC,3.34B,13.32,9.64,1.62,0.79,1.27,1.85,12.67,0.92,-26.61%,11.97%,8.91,6.22,7.69,7.51,522.83k,681.01k,225.31M,108.45M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.18,2.82%,0.18,2.82%,1.03,38.13%,N/A,"Jul 05, 2019",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",6.09%,9.61%,N/A,N/A,1.81B,7.93,-3.00%,865.02M,263.79M,109.98M,0.48,-8.10%,375.37M,1.65,2.21B,187.56,N/A,5.01,N/A,N/A,,MELIA HOTELS INTERNATIONAL S.A (MEL.MC),Sector
28,SAB.MC,36.62B,6.58,4.57,2.55,1.08,0.36,8.61,N/A,1.50,-14.41%,11.97%,1.1127,0.7034,0.9236,0.9293,28.59M,34.15M,5.61B,5.6B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.04,4.97%,0.04,4.97%,N/A,21.32%,N/A,"Apr 01, 2020",67:66,"Dec 20, 2019","Dec 31, 2019","Dec 31, 2019",18.06%,25.44%,0.35%,6.19%,4.25B,0.77,-21.40%,4.25B,N/A,694.57M,0.125,N/A,4.74B,0.84,36.76B,N/A,N/A,2.3,-10.4B,N/A,,BANCO DE SABADELL (SAB.MC),Sector
29,REE.MC,15.5B,14.10,13.80,6.18,5.01,2.92,7.72,10.08,0.19,-3.15%,11.97%,19.97,16.74,18.23,17.96,1.84M,1.42M,539.79M,431.56M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.98,5.04%,0.98,5.32%,4.60,74.18%,N/A,"Jan 03, 2020",4:1,"Jul 11, 2016","Dec 31, 2018","Sep 30, 2019",35.51%,52.82%,5.85%,21.15%,2.01B,3.72,0.20%,1.97B,1.54B,713.09M,1.32,2.00%,648.46M,1.2,5.62B,163.13,0.99,6.38,1.04B,499.99M,,RED ELECTRICA CORPORACION S.A. (REE.MC),Utilities
30,CABK.MC,41.11B,9.62,6.25,0.68,1.84,0.59,5.05,N/A,1.21,-16.81%,11.97%,3.1640,1.9820,2.7505,2.5569,14.67M,16.59M,5.98B,3.58B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.17,6.72%,0.15,5.93%,4.90,38.46%,N/A,"Apr 11, 2019",2:1,"Mar 01, 2016","Dec 31, 2019","Dec 31, 2019",20.96%,38.85%,0.44%,6.90%,8.13B,1.36,16.80%,8.13B,N/A,1.57B,0.26,102.30%,13.05B,2.18,39.01B,N/A,N/A,4.2,-6.45B,N/A,,CAIXABANK S.A. (CABK.MC),Financial Services
31,DGI.MC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,. T Y,Sitemap
32,TEC.MC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,. T Y,Sitemap
33,PHM.MC,917.24M,N/A,N/A,N/A,6.29,39.84,6.73,-39.60,1.26,152.28%,11.97%,5.0000,1.3510,4.2385,2.6657,2.95M,3.9M,221.8M,174.21M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 31, 2018","Sep 30, 2019",-23.03%,-18.86%,-11.18%,-283.47%,136.28M,0.74,N/A,126.72M,-23.16M,-26.96M,-0.025,N/A,27.01M,0.12,89.33M,N/A,0.83,0.1,-23.11M,6.21M,,PHARMA MAR S.A. (PHM.MC),Sector
34,MCM.MC,454.97M,10.52,N/A,N/A,1.52,1.53,1.68,6.72,0.57,-20.31%,11.97%,17.28,13.20,15.42,15.68,11.99k,12.08k,30.35M,16.67M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.44,3.20%,0.14,1.04%,2.37,61.10%,N/A,"Dec 10, 2019",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",14.12%,19.12%,N/A,N/A,271.51M,9.04,-3.60%,166.47M,67.7M,38.35M,1.29,9.70%,41.73M,1.37,75.36M,27.54,N/A,8.88,N/A,N/A,,MIQUEL Y COSTAS MIQUEL S.A. (MCM.MC),Sector
35,ABG-P.MC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0147,0.0069,0.0103,0.0095,114.55M,53.26M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,ABENGOA CLASE B (ABG P.MC),Sitemap
